GeneMark.hmm PROKARYOTIC (Version 3.20)
Date: Sat Jun 20 16:08:48 2020
Sequence file name: sequence
Model file name: itr_2.mod
RBS: true
Model information: GeneMarkS_default_gcode_1

FASTA definition line: empty-fasta-def-line
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
  173        +      415757      416758         1002        1
  174        +     <418048      420057         2010        1
  175        +      420749      421366          618        1
  176        +      422164      424671         2508        1
  177        +      425230      426315         1086        1
  178        +      428299      429864         1566        1
  179        +      430256      430828          573        1
  180        +      432972      433943          972        1
  181        +      435246      436940         1695        1
  182        +      437622      438986         1365        1
  183        +      439623      440525          903        1
  184        +      441249      441920          672        1
  185        +      442954      444567         1614        1
  186        +      444942      446648         1707        1
  187        +      448143      450029         1887        1
  188        +      450361      452781         2421        1
  189        +      453224      453928          705        1
  190        +      454708      456294         1587        1
  191        +      456917      458188         1272        1
  192        +      458709      459455          747        1
  193        +      460182      461018          837        1
  194        +      461427      463349         1923        1
  195        +      463941      465899         1959        1
  196        +      466220      467290         1071        1
  197        +      467571      467894          324        1
  198        +      468796      469455          660        1
  199        +     <472267      473673         1407        1
  200        +      474141      477632         3492        1
  201        +      477915      479081         1167        1
  202        +      479885      480451          567        1
  203        +      481055      482371         1317        1
  204        +      483216      484547         1332        1
  205        +      484728      485435          708        1
  206        +      486893      488200         1308        1
  207        +      489550      490512          963        1
  208        +      491545      492504          960        1
  209        +      493177      493953          777        1
  210        +      494429      496600         2172        1
  211        +      498138      503618         5481        1
  212        +      504451      506079         1629        1
  213        +      506533      508986         2454        1
  214        +      509345      510520         1176        1
  215        +      512480      516583         4104        1
  216        +     <516858      518648         1791        1
  217        +      519098      522076         2979        1
  218        +      522437      523279          843        1
  219        +      523639      525048         1410        1
  220        +      526240      527253         1014        1
  221        +      528030      530612         2583        1
  222        +      531917      533113         1197        1
  223        +      533709      535985         2277        1
  224        +      536552      537718         1167        1
  225        +      538320      538979          660        1
  226        +      539334      540311          978        1
  227        +      540537      541394          858        1
  228        +      541710      543113         1404        1
  229        +      543403      544764         1362        1
  230        +      544897      546603         1707        1
  231        +      546856      547719          864        1
  232        +      548650      550764         2115        1
  233        +      551512      555627         4116        1
  234        +      555930      556427          498        1
  235        +      559559      562258         2700        1
  236        +      563445      565202         1758        1
  237        +      565517      566776         1260        1
  238        +      567132      569912         2781        1
  239        +      570498      571898         1401        1
  240        +      572224      572901          678        1
  241        +      573560      576235         2676        1
  242        +      576937      578088         1152        1
  243        +      578895      579941         1047        1
  244        +      580373      581167          795        1
  245        +      583290      584753         1464        1
  246        +      585079      585435          357        1
  247        +      586784      587248          465        1
  248        +      588028      589641         1614        1
  249        +      589755      590603          849        1
  250        +      591094      592152         1059        1
  251        +     <592440      593024          585        1
  252        +      594226      595293         1068        1
  253        +      595898      596341          444        1
  254        +      596750      597598          849        1
  255        +      598116      600236         2121        1
  256        +      600766      602763         1998        1
  257        +      603041      604345         1305        1
  258        +      604563      605657         1095        1
  259        +      605936      608341         2406        1
  260        +      608672      609754         1083        1
  261        +      610704      613310         2607        1
  262        +      613627      615033         1407        1
  263        +     <615209      617347         2139        1
  264        +      617894      620092         2199        1
  265        +      620282      622198         1917        1
  266        +      622816      625194         2379        1
  267        +      625491      626411          921        1
  268        +      626975      631894         4920        1
  269        +      632339      634003         1665        1
  270        +      634460      635449          990        1
  271        +      636134      637867         1734        1
  272        +      638430      643151         4722        1
  273        +      643440      644741         1302        1
  274        +      646231      647268         1038        1
  275        +      648305      649654         1350        1
  276        +      650891      651430          540        1
  277        +      653622      655727         2106        1
  278        +      657946      659481         1536        1
  279        +      660655      662325         1671        1
  280        +      664659      665483          825        1
  281        +      666407      667786         1380        1
  282        +      668377      669501         1125        1
  283        +      670217      670894          678        1
  284        +      673203      674150          948        1
  285        +      674564      677041         2478        1
  286        +      678923      683050         4128        1
  287        +      683705      685003         1299        1
  288        +      685261      686565         1305        1
  289        +      686818      687567          750        1
  290        +      688521      689369          849        1
  291        +      689883      691253         1371        1
  292        +      692027      694555         2529        1
  293        +      694947      696344         1398        1
  294        +      696765      697940         1176        1
  295        +      698431      699387          957        1
  296        +      699723      701930         2208        1
  297        +      702432      703934         1503        1
  298        +      706916      709414         2499        1
  299        +      710323      711018          696        1
  300        +      712873      716658         3786        1
  301        +      717286      718815         1530        1
  302        +      719115      721112         1998        1
  303        +      721469      722191          723        1
  304        +      722687      724600         1914        1
  305        +      725037      726296         1260        1
  306        +      726584      727384          801        1
  307        +      728360      729730         1371        1
  308        +      730846      731616          771        1
  309        +     <732069      733607         1539        1
  310        +      734004      735215         1212        1
  311        +      735874      737496         1623        1
  312        +      738226      743169         4944        1
  313        +      744378      747194         2817        1
  314        +      748334      749830         1497        1
  315        +      750309      751700         1392        1
  316        +      754504      756447         1944        1
  317        +      756836      757567          732        1
  318        +      758003      759898         1896        1
  319        +      760266      761219          954        1
  320        +      761477      763180         1704        1
  321        +      763535      764578         1044        1
  322        +      765059      766570         1512        1
  323        +      767476      770064         2589        1
  324        +      770767      771576          810        1
  325        +      771841      774960         3120        1
  326        +      775308      776039          732        1
  327        +      776459      777850         1392        1
  328        +      778166      779317         1152        1
  329        +      779731      780888         1158        1
  330        +     <781037      782107         1071        1
  331        +      785403      787649         2247        1
  332        +      787877      790129         2253        1
  333        +      790648      793806         3159        1
  334        +      794129      794824          696        1
  335        +      797330      798169          840        1
  336        +     <798358      800412         2055        1
  337        +      801130      801777          648        1
  338        +      802512      806723         4212        1
  339        +      807007      807828          822        1
  340        +      808468      809895         1428        1
  341        +      810344      811849         1506        1
  342        +      812495      813463          969        1
  343        +      814716      815531          816        1
  344        +      816464      817186          723        1
  345        +      817352      818311          960        1
  346        +      819447      820235          789        1
  347        +      820900      821598          699        1
  348        +      823781      824476          696        1
  349        +      825142      829419         4278        1
  350        +      829696      830697         1002        1
  351        +      831054      832598         1545        1
  352        +      833070      834581         1512        1
  353        +      835438      837282         1845        1
  354        +      837687      838289          603        1
  355        +     <839532      841157         1626        1
  356        +      841575      842516          942        1
  357        +      844017      846293         2277        1
  358        +      846865      848193         1329        1
  359        +     <848681      850585         1905        1
  360        +      850945      851958         1014        1
  361        +     <852421      853599         1179        1
  362        +      854554      855156          603        1
  363        +      855977      859234         3258        1
  364        +      859538      860557         1020        1
  365        +      860872      861567          696        1
  366        +      862227      864491         2265        1
  367        +      864797      865309          513        1
  368        +      866535      868163         1629        1
  369        +      868938      869252          315        1
  370        +      872158      873678         1521        1
  371        +      874086      878495         4410        1
  372        +      878727      879389          663        1
  373        +      879845      880690          846        1
  374        +      880925      886393         5469        1
  375        +      886767      888194         1428        1
  376        +      889307      896500         7194        1
  377        +      896634      901484         4851        1
  378        +      902065      903744         1680        1
  379        +      905269      906159          891        1
  380        +      907781      909901         2121        1
  381        +      910402      911676         1275        1
  382        +      912784      913092          309        1
  383        +      913294      914307         1014        1
  384        +      916256      917059          804        1
  385        +      917771      921748         3978        1
  386        +      922475      923596         1122        1
  387        +      924464      925882         1419        1
  388        +      926091      927113         1023        1
  389        +      927443      928666         1224        1
  390        +     <928718      932227         3510        1
  391        +      932659      934224         1566        1
  392        +      934696      936048         1353        1
  393        +      936439      937527         1089        1
  394        +      938241      939695         1455        1
  395        +      940021      941346         1326        1
  396        +      941803      943980         2178        1
  397        +      944700      947957         3258        1
  398        +      948247      949179          933        1
  399        +      949671      952046         2376        1
  400        +      952441      953433          993        1
  401        +      954528      955304          777        1
  402        +      956401      958923         2523        1
  403        +      959428      960711         1284        1
  404        +      960996      961934          939        1
  405        +      963076      963675          600        1
  406        +      966619      967704         1086        1
  407        +      968082      968807          726        1
  408        +     <969209      969874          666        1
  409        +      970709      973492         2784        1
  410        +      974014      975396         1383        1
  411        +      976224      976601          378        1
  412        +      977016      977993          978        1
  413        +     <978119      979570         1452        1
  414        +      980422      981972         1551        1
  415        +      982975      983604          630        1
  416        +      984565      985080          516        1
  417        +      985681      986703         1023        1
  418        +      986994      989342         2349        1
  419        +      990520      991236          717        1
  420        +      991827      992855         1029        1
  421        +      993669      995537         1869        1
  422        +      996219      997412         1194        1
  423        +      998003      998758          756        1
  424        +      999785     1002220         2436        1
  425        +     1002929     1003537          609        1
  426        +     1004617     1006749         2133        1
  427        +     1007615     1009351         1737        1
  428        +    <1009603     1013784         4182        1
  429        +     1014175     1017234         3060        1
  430        +     1017507     1018481          975        1
  431        +     1018666     1019415          750        1
  432        +    <1020664     1025853         5190        1
  433        +     1026567     1027205          639        1
  434        +     1028467     1030035         1569        1
  435        +    <1030660     1031610          951        1
  436        +     1032124     1034220         2097        1
  437        +     1034804     1035517          714        1
  438        +     1037112     1038023          912        1
  439        +     1040396     1041589         1194        1
  440        +     1042631     1043542          912        1
  441        +     1044539     1046503         1965        1
  442        +     1046916     1047686          771        1
  443        +     1048502     1049257          756        1
  444        +     1049547     1051268         1722        1
  445        +     1051606     1051947          342        1
  446        +     1053469     1054908         1440        1
  447        +     1057393     1058745         1353        1
  448        +     1059191     1060327         1137        1
  449        +     1061633     1063183         1551        1
  450        +     1063546     1064349          804        1
  451        +     1065321     1066031          711        1
  452        +     1067865     1071329         3465        1
  453        +     1073003     1075900         2898        1
  454        +     1076245     1076718          474        1
  455        +     1077626     1078735         1110        1
  456        +     1079537     1080502          966        1
  457        +     1080832     1082349         1518        1
  458        +     1082944     1084611         1668        1
  459        +     1085910     1089365         3456        1
  460        +     1089827     1092196         2370        1
  461        +     1092934     1094472         1539        1
  462        +     1095097     1096611         1515        1
  463        +     1096834     1100025         3192        1
  464        +     1100349     1101260          912        1
  465        +     1102151     1106986         4836        1
  466        +     1107488     1108081          594        1
  467        +     1108692     1109372          681        1
  468        +     1109886     1111082         1197        1
  469        +     1111750     1113519         1770        1
  470        +     1113695     1115077         1383        1
  471        +     1115384     1115749          366        1
  472        +     1116625     1117380          756        1
  473        +    <1117470     1119044         1575        1
  474        +     1119637     1119942          306        1
  475        +     1120895     1123258         2364        1
  476        +     1124706     1125884         1179        1
  477        +     1126129     1128582         2454        1
  478        +     1129141     1131369         2229        1
  479        +     1131915     1132664          750        1
  480        +     1134246     1135130          885        1
  481        +     1135923     1136675          753        1
  482        +     1137448     1140456         3009        1
  483        +     1140912     1141766          855        1
  484        +     1142067     1143110         1044        1
  485        +     1144342     1146153         1812        1
  486        +     1146633     1147508          876        1
  487        +     1148042     1148617          576        1
  488        +     1150377     1151339          963        1
  489        +     1153526     1155910         2385        1
  490        +     1156124     1159744         3621        1
  491        +     1160027     1160890          864        1
  492        +     1161243     1168175         6933        1
  493        +     1168726     1169895         1170        1
  494        +     1171402     1173021         1620        1
  495        +     1173116     1174504         1389        1
  496        +     1177519     1178697         1179        1
  497        +     1179167     1180009          843        1
  498        +     1180537     1182012         1476        1
  499        +     1184851     1187253         2403        1
  500        +     1189147     1193097         3951        1
  501        +     1193296     1194618         1323        1
  502        +     1196320     1197612         1293        1
  503        +     1198546     1199502          957        1
  504        +     1200115     1201185         1071        1
  505        +     1201728     1204031         2304        1
  506        +     1204555     1206165         1611        1
  507        +     1207680     1208957         1278        1
  508        +     1210468     1212249         1782        1
  509        +     1212918     1213913          996        1
  510        +     1214134     1216083         1950        1
  511        +     1216211     1217365         1155        1
  512        +     1217781     1220630         2850        1
  513        +     1221730     1223406         1677        1
  514        +     1224533     1226194         1662        1
  515        +     1226720     1229452         2733        1
  516        +     1230498     1231325          828        1
  517        +     1231822     1232274          453        1
  518        +     1232744     1234021         1278        1
  519        +     1234651     1235229          579        1
  520        +     1237634     1239235         1602        1
  521        +     1240031     1241584         1554        1
  522        +     1241825     1242520          696        1
  523        +     1242984     1243292          309        1
  524        +     1243781     1245244         1464        1
  525        +     1245576     1247303         1728        1
  526        +     1247668     1248828         1161        1
  527        +     1249494     1255715         6222        1
  528        +    <1256004     1256978          975        1
  529        +     1257954     1259819         1866        1
  530        +     1260228     1262342         2115        1
  531        +     1262936     1263490          555        1
  532        +     1264019     1265350         1332        1
  533        +     1267196     1267930          735        1
  534        +     1270473     1273232         2760        1
  535        +     1273655     1274503          849        1
  536        +     1276249     1277820         1572        1
  537        +    <1278124     1279197         1074        1
  538        +     1279864     1280880         1017        1
  539        +     1281925     1284981         3057        1
  540        +     1285377     1287389         2013        1
  541        +     1287938     1288975         1038        1
  542        +     1289661     1292012         2352        1
  543        +     1292341     1293870         1530        1
  544        +     1294274     1295134          861        1
  545        +     1296005     1296418          414        1
  546        +     1298538     1301201         2664        1
  547        +     1301528     1302457          930        1
  548        +     1303561     1305510         1950        1
  549        +     1305998     1307173         1176        1
  550        +     1308574     1309752         1179        1
  551        +     1310119     1311648         1530        1
  552        +     1312308     1313120          813        1
  553        +     1313368     1314537         1170        1
  554        +     1315044     1315802          759        1
  555        +     1318047     1319180         1134        1
  556        +     1323338     1323673          336        1
  557        +     1323924     1324325          402        1
  558        +     1325796     1326695          900        1
  559        +     1328278     1330203         1926        1
  560        +     1331302     1333053         1752        1
  561        +     1333458     1337717         4260        1
  562        +     1338284     1340395         2112        1
  563        +     1344972     1346591         1620        1
  564        +     1346956     1347753          798        1
  565        +     1348087     1348650          564        1
  566        +     1349288     1350385         1098        1
  567        +     1350580     1352457         1878        1
  568        +     1352918     1357054         4137        1
  569        +     1357208     1359151         1944        1
  570        +     1360493     1362406         1914        1
  571        +     1363054     1363500          447        1
  572        +     1364084     1370242         6159        1
  573        +     1371426     1373528         2103        1
  574        +     1374258     1375124          867        1
  575        +     1375407     1377272         1866        1
  576        +     1377445     1378017          573        1
  577        +     1379083     1380786         1704        1
  578        +     1381121     1382500         1380        1
  579        +     1382799     1385357         2559        1
  580        +     1385762     1387114         1353        1
  581        +     1389664     1391745         2082        1
  582        +     1392450     1392944          495        1
  583        +     1393028     1393432          405        1
  584        +     1393967     1394533          567        1
  585        +     1395206     1397242         2037        1
  586        +     1397563     1399182         1620        1
  587        +     1400610     1401521          912        1
  588        +     1403332     1403859          528        1
  589        +     1404900     1405808          909        1
  590        +     1407234     1410029         2796        1
  591        +     1411354     1413297         1944        1
  592        +     1414181     1415419         1239        1
  593        +     1416492     1418723         2232        1
  594        +     1419157     1419825          669        1
  595        +     1420507     1421496          990        1
  596        +     1422318     1422839          522        1
  597        +     1423213     1425336         2124        1
  598        +     1425765     1427933         2169        1
  599        +     1428404     1430374         1971        1
  600        +     1430672     1431880         1209        1
  601        +     1432365     1434638         2274        1
  602        +     1435093     1436061          969        1
  603        +     1436674     1437978         1305        1
  604        +     1438540     1439841         1302        1
  605        +     1440107     1442410         2304        1
  606        +     1443844     1445754         1911        1
  607        +     1446416     1447999         1584        1
  608        +    <1448125     1448991          867        1
  609        +     1449879     1451489         1611        1
  610        +     1452147     1452815          669        1
  611        +     1453288     1455615         2328        1
  612        +     1455859     1457007         1149        1
  613        +     1461876     1463783         1908        1
  614        +     1464614     1465588          975        1
  615        +     1466119     1466931          813        1
  616        +    <1467104     1467541          438        1
  617        +     1468556     1471249         2694        1
  618        +     1471729     1472382          654        1
  619        +     1473453     1475351         1899        1
  620        +     1476005     1477090         1086        1
  621        +     1477426     1481244         3819        1
  622        +     1481677     1483122         1446        1
  623        +     1483908     1484984         1077        1
  624        +     1485551     1486582         1032        1
  625        +     1487769     1488641          873        1
  626        +     1490161     1492206         2046        1
  627        +     1492517     1495108         2592        1
  628        +     1495537     1497150         1614        1
  629        +     1497553     1498989         1437        1
  630        +     1498993     1499298          306        1
  631        +     1499653     1500648          996        1
  632        +     1501271     1502293         1023        1
  633        +     1503194     1503850          657        1
  634        +     1504407     1506050         1644        1
  635        +    <1507030     1508655         1626        1
  636        +     1509127     1509906          780        1
  637        +     1510335     1512953         2619        1
  638        +     1513270     1514079          810        1
  639        +     1514664     1517159         2496        1
  640        +     1517368     1518684         1317        1
  641        +     1519127     1519756          630        1
  642        +     1520426     1521181          756        1
  643        +    <1521662     1522030          369        1
  644        +     1523624     1524292          669        1
  645        +    <1525660     1529982         4323        1
  646        +     1530559     1531455          897        1
  647        +     1532556     1533335          780        1
  648        +     1534058     1534891          834        1
  649        +     1535577     1539002         3426        1
  650        +     1539453     1540847         1395        1
  651        +     1541756     1543981         2226        1
  652        +     1544719     1546260         1542        1
  653        +     1547155     1548669         1515        1
  654        +     1551031     1554735         3705        1
  655        +     1555529     1557280         1752        1
  656        +     1558000     1558869          870        1
  657        +    <1561255     1562046          792        1
  658        +     1565517     1567340         1824        1
  659        +     1567992     1569986         1995        1
  660        +     1570646     1572271         1626        1
  661        +     1572780     1574984         2205        1
  662        +     1575767     1578046         2280        1
  663        +     1578615     1579844         1230        1
  664        +     1580403     1581407         1005        1
  665        +     1582112     1584610         2499        1
  666        +     1585232     1586272         1041        1
  667        +     1587472     1591689         4218        1
  668        +     1592637     1593389          753        1
  669        +     1593835     1596636         2802        1
  670        +    <1597142     1605418         8277        1
  671        +     1605950     1607131         1182        1
  672        +     1608157     1609698         1542        1
  673        +     1610289     1611140          852        1
  674        +     1613987     1614775          789        1
  675        +     1615020     1616918         1899        1
  676        +     1617502     1618398          897        1
  677        +     1619010     1619375          366        1
  678        +     1619983     1620414          432        1
  679        +     1621106     1622668         1563        1
  680        +     1622886     1623755          870        1
  681        +     1624415     1625941         1527        1
  682        +     1626716     1627528          813        1
  683        +     1627835     1628833          999        1
  684        +     1629116     1629790          675        1
  685        +     1630033     1631049         1017        1
  686        +     1633423     1634190          768        1
  687        +     1634808     1635881         1074        1
  688        +     1636118     1637182         1065        1
  689        +     1638547     1640343         1797        1
  690        +     1640770     1643745         2976        1
  691        +     1646010     1646894          885        1
  692        +     1647266     1650037         2772        1
  693        +     1650779     1654597         3819        1
  694        +     1655212     1655655          444        1
  695        +     1656360     1661360         5001        1
  696        +    <1661626     1662012          387        1
  697        +     1662599     1663306          708        1
  698        +     1665103     1666488         1386        1
  699        +     1667785     1669359         1575        1
  700        +     1669758     1670669          912        1
  701        +     1672342     1673907         1566        1
  702        +     1674599     1675558          960        1
  703        +     1676813     1679032         2220        1
  704        +     1679670     1681334         1665        1
  705        +     1682413     1688748         6336        1
  706        +     1689452     1691659         2208        1
  707        +     1693416     1696646         3231        1
  708        +     1697050     1700760         3711        1
  709        +     1701098     1702873         1776        1
  710        +     1703079     1705526         2448        1
  711        +    <1705769     1706284          516        1
  712        +     1707190     1707489          300        1
  713        +     1707979     1708350          372        1
  714        +     1709055     1709849          795        1
  715        +     1710453     1711949         1497        1
  716        +     1712354     1714399         2046        1
  717        +     1716529     1718391         1863        1
  718        +     1719562     1719927          366        1
  719        +     1721449     1726512         5064        1
  720        +     1726760     1728163         1404        1
  721        +     1728488     1728817          330        1
  722        +     1729484     1733110         3627        1
  723        +     1733610     1734467          858        1
  724        +     1735387     1739343         3957        1
  725        +     1739788     1740918         1131        1
  726        +     1741416     1743383         1968        1
  727        +     1743794     1745395         1602        1
  728        +     1746082     1746666          585        1
  729        +     1747045     1749471         2427        1
  730        +     1750858     1752177         1320        1
  731        +     1752385     1754727         2343        1
  732        +    <1755253     1758924         3672        1
  733        +     1759164     1759982          819        1
  734        +     1760731     1762017         1287        1
  735        +     1762913     1766290         3378        1
  736        +     1766674     1769001         2328        1
