GeneMark.hmm PROKARYOTIC (Version 3.20)
Date: Sat Jun 20 16:08:46 2020
Sequence file name: sequence
Model file name: /workspaces/pygmst/pygmst/genemark/MetaGeneMark_v1.mod
RBS: false

Model information: Heuristic_model_for_genetic_code_11_and_GC_37

FASTA definition line: empty-fasta-def-line
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
  171        +      366826      368766         1941        1
  172        +      369997      370452          456        1
  173        +      371873      374452         2580        1
  174        +      375005      376756         1752        1
  175        +      377113      379242         2130        1
  176        +      379651      379944          294        1
  177        +      381002      381115          114        1
  178        +      382103      383263         1161        1
  179        +      384154      385113          960        1
  180        +      386627      387181          555        1
  181        +      387995      388888          894        1
  182        +      389275      389850          576        1
  183        +      389976      390098          123        1
  184        +      390426      391085          660        1
  185        +      392331      393455         1125        1
  186        +      394467      395489         1023        1
  187        +     <395602      399597         3996        1
  188        +      400370      401224          855        1
  189        +      402071      403513         1443        1
  190        +     <403723      405795         2073        1
  191        +      406285      407709         1425        1
  192        +      408551      410410         1860        1
  193        +      412782      414794         2013        1
  194        +     <415706      416758         1053        1
  195        +      418087      420057         1971        1
  196        +      420749      421366          618        1
  197        +      422164      424671         2508        1
  198        +      425230      426315         1086        1
  199        +      428299      429864         1566        1
  200        +      430373      430828          456        1
  201        +      432972      433943          972        1
  202        +      435246      436940         1695        1
  203        +      437622      438986         1365        1
  204        +      439551      440525          975        1
  205        +      441387      441920          534        1
  206        +      442954      444567         1614        1
  207        +      444942      446648         1707        1
  208        +      448086      450029         1944        1
  209        +      450361      452781         2421        1
  210        +      453224      453928          705        1
  211        +     <454708      456294         1587        1
  212        +     <456443      456676          234        2
  213        +      456908      458188         1281        1
  214        +      458709      459455          747        1
  215        +      460182      461018          837        1
  216        +      461427      463349         1923        1
  217        +      463941      465899         1959        1
  218        +      466220      467290         1071        1
  219        +      467571      467894          324        1
  220        +      468796      469455          660        1
  221        +      470728      470949          222        1
  222        +     <472267      473673         1407        1
  223        +      474141      477632         3492        1
  224        +      477915      479081         1167        1
  225        +      479885      480451          567        1
  226        +      481055      482371         1317        1
  227        +      483216      484547         1332        1
  228        +     <484728      485435          708        1
  229        +      486893      488200         1308        1
  230        +      489550      490512          963        1
  231        +      491545      492504          960        1
  232        +      493177      493953          777        1
  233        +      494429      496600         2172        1
  234        +      498075      503618         5544        1
  235        +      504451      506079         1629        1
  236        +      506533      508986         2454        1
  237        +      509345      510520         1176        1
  238        +     <510704      510886          183        1
  239        +      512480      516583         4104        1
  240        +     <516858      518648         1791        1
  241        +      519098      522076         2979        1
  242        +      522437      523279          843        1
  243        +      523639      525048         1410        1
  244        +      526240      527253         1014        1
  245        +      528030      530612         2583        1
  246        +      531917      533113         1197        1
  247        +      533739      535985         2247        1
  248        +      536552      537718         1167        1
  249        +      538320      538979          660        1
  250        +      539334      540311          978        1
  251        +     <540537      541394          858        1
  252        +     <541662      543113         1452        1
  253        +      543403      544764         1362        1
  254        +      544897      546603         1707        1
  255        +      546856      547719          864        1
  256        +      548719      550764         2046        1
  257        +      551509      555627         4119        1
  258        +      557511      557771          261        1
  259        +      558319      558564          246        1
  260        +      559571      562258         2688        1
  261        +      562358      562510          153        1
  262        +      563445      565202         1758        1
  263        +      565517      566776         1260        1
  264        +      567132      569912         2781        1
  265        +      570498      571898         1401        1
  266        +      572224      572901          678        1
  267        +      573560      576235         2676        1
  268        +      576937      578088         1152        1
  269        +      578895      579941         1047        1
  270        +      580373      581167          795        1
  271        +      581867      582022          156        1
  272        +      582095      582346          252        1
  273        +      583290      584753         1464        1
  274        +     <586715      587248          534        2
  275        +      588028      589641         1614        1
  276        +      589755      590603          849        1
  277        +      591094      592152         1059        1
  278        +     <592440      593024          585        1
  279        +      594226      595293         1068        1
  280        +      595898      596341          444        1
  281        +     <596641      596724           84        2
  282        +      596750      597598          849        1
  283        +      598116      600236         2121        1
  284        +      600766      602763         1998        1
  285        +     <602987      604345         1359        1
  286        +      604563      605657         1095        1
  287        +      605936      608341         2406        1
  288        +      608672      609754         1083        1
  289        +      610704      613310         2607        1
  290        +      613627      615033         1407        1
  291        +     <615209      617347         2139        1
  292        +      617894      620092         2199        1
  293        +      620282      622198         1917        1
  294        +      622843      625194         2352        1
  295        +     <625470      626411          942        1
  296        +      626975      631894         4920        1
  297        +     <632218      632352          135        1
  298        +      632384      634003         1620        1
  299        +      634460      635449          990        1
  300        +      636134      637867         1734        1
  301        +      638430      643151         4722        1
  302        +      643440      644741         1302        1
  303        +      646294      647268          975        1
  304        +      648305      649654         1350        1
  305        +      650891      651430          540        1
  306        +      653622      655727         2106        1
  307        +      657946      659481         1536        1
  308        +      660655      662325         1671        1
  309        +      664659      665483          825        1
  310        +      666377      667786         1410        1
  311        +      668377      669501         1125        1
  312        +     <669813      669917          105        1
  313        +      670217      670894          678        1
  314        +      673266      674150          885        1
  315        +      674564      677041         2478        1
  316        +      678923      683050         4128        1
  317        +      683705      685003         1299        1
  318        +      685261      686565         1305        1
  319        +      686818      687567          750        1
  320        +      688521      689369          849        1
  321        +      689880      691253         1374        1
  322        +      692027      694555         2529        1
  323        +      694947      696344         1398        1
  324        +     <696588      697940         1353        1
  325        +      698431      699387          957        1
  326        +      699723      701930         2208        1
  327        +     <702432      703934         1503        1
  328        +      704594      704731          138        2
  329        +      706916      709414         2499        1
  330        +     <710293      711018          726        1
  331        +      712873      716658         3786        1
  332        +      717475      718815         1341        1
  333        +      719760      721112         1353        1
  334        +      721469      722191          723        1
  335        +      722684      724600         1917        1
  336        +      725037      726296         1260        1
  337        +      726584      727384          801        1
  338        +      727381      727584          204        1
  339        +      728483      729730         1248        1
  340        +      730846      731616          771        1
  341        +      732147      733607         1461        1
  342        +      734004      735215         1212        1
  343        +      735865      737496         1632        1
  344        +      738226      743169         4944        1
  345        +      744378      747194         2817        1
  346        +      748334      749830         1497        1
  347        +      750309      751700         1392        1
  348        +      754504      756447         1944        1
  349        +      756836      757567          732        1
  350        +      758027      759898         1872        1
  351        +      760266      761219          954        1
  352        +      761477      763180         1704        1
  353        +      763535      764578         1044        1
  354        +      765059      766570         1512        1
  355        +      767476      770064         2589        1
  356        +      770767      771576          810        1
  357        +      771841      774960         3120        1
  358        +      775308      776039          732        1
  359        +      776459      777850         1392        1
  360        +      778166      779317         1152        1
  361        +      779731      780888         1158        1
  362        +      781082      782107         1026        1
  363        +     <782219      782350          132        1
  364        +      782347      782637          291        1
  365        +      785397      787649         2253        1
  366        +      787877      790129         2253        1
  367        +      790723      793806         3084        1
  368        +      794129      794824          696        1
  369        +      797330      798169          840        1
  370        +     <798358      800412         2055        1
  371        +      801001      801777          777        2
  372        +      802512      806723         4212        1
  373        +     <806917      807828          912        1
  374        +      808468      809895         1428        1
  375        +      810344      811849         1506        1
  376        +      812495      813463          969        1
  377        +      814554      815531          978        1
  378        +      816464      817186          723        1
  379        +      817352      818311          960        1
  380        +      818479      818676          198        1
  381        +      819447      820235          789        1
  382        +      820900      821598          699        2
  383        +      821876      822160          285        1
  384        +      823781      824476          696        1
  385        +      825136      829419         4284        1
  386        +      829696      830697         1002        1
  387        +      831054      832598         1545        1
  388        +      832660      832854          195        1
  389        +      833070      834581         1512        1
  390        +      835420      837282         1863        1
  391        +      837687      838289          603        1
  392        +     <839532      841157         1626        1
  393        +      841575      842516          942        1
  394        +      844017      846293         2277        1
  395        +      846865      848193         1329        1
  396        +     <848681      850585         1905        1
  397        +      850945      851958         1014        1
  398        +      852502      853599         1098        1
  399        +      854554      855156          603        1
  400        +      855977      859234         3258        1
  401        +      859538      860557         1020        1
  402        +      860872      861567          696        1
  403        +     <862152      864491         2340        1
  404        +      864797      865309          513        1
  405        +      866535      868163         1629        1
  406        +      872158      873678         1521        1
  407        +      874086      878495         4410        1
  408        +      878727      879389          663        1
  409        +      879845      880690          846        1
  410        +      880910      886393         5484        1
  411        +      886767      888194         1428        1
  412        +      888351      888467          117        2
  413        +      889307      896500         7194        1
  414        +     <896634      901484         4851        1
  415        +      901942      903744         1803        1
  416        +      905269      906159          891        1
  417        +      907781      909901         2121        1
  418        +      910402      911676         1275        1
  419        +      912435      912611          177        2
  420        +      912657      912827          171        1
  421        +      913294      914307         1014        1
  422        +      916256      917059          804        1
  423        +      917771      921748         3978        1
  424        +      922475      923596         1122        1
  425        +      924464      925882         1419        1
  426        +      926091      927113         1023        1
  427        +      927443      928666         1224        1
  428        +     <928718      932227         3510        1
  429        +      932680      934224         1545        1
  430        +      934696      936048         1353        1
  431        +      936439      937527         1089        1
  432        +      938241      939695         1455        1
  433        +      940021      941346         1326        1
  434        +      941803      943980         2178        1
  435        +      944700      947957         3258        1
  436        +      948247      949179          933        1
  437        +      949671      952046         2376        1
  438        +      952441      953433          993        1
  439        +      954528      955304          777        1
  440        +      956401      958923         2523        1
  441        +      959428      960711         1284        1
  442        +      960996      961934          939        1
  443        +      963115      963675          561        1
  444        +      966607      967704         1098        1
  445        +      968082      968807          726        1
  446        +      969371      969874          504        1
  447        +      970709      973492         2784        1
  448        +      974014      975396         1383        1
  449        +      976224      976601          378        1
  450        +      977016      977993          978        1
  451        +     <978119      979570         1452        1
  452        +      980422      981972         1551        1
  453        +      982975      983604          630        1
  454        +      984565      985080          516        1
  455        +      985681      986703         1023        1
  456        +      987210      989342         2133        1
  457        +      990520      991236          717        1
  458        +      991827      992855         1029        1
  459        +      993391      993669          279        1
  460        +      993669      995537         1869        1
  461        +      996219      997412         1194        1
  462        +      998003      998758          756        1
  463        +      999785     1002220         2436        1
  464        +     1002929     1003537          609        1
  465        +     1004725     1006749         2025        1
  466        +     1007615     1009351         1737        1
  467        +    <1009603     1013784         4182        1
  468        +     1014175     1017234         3060        1
  469        +     1017507     1018481          975        1
  470        +    <1018636     1019415          780        1
  471        +     1019724     1019837          114        1
  472        +    <1020664     1025853         5190        1
  473        +     1026567     1027205          639        1
  474        +     1028560     1030035         1476        1
  475        +    <1030660     1031610          951        1
  476        +     1032124     1034220         2097        1
  477        +     1034804     1035517          714        2
  478        +     1036094     1036306          213        2
  479        +     1037112     1038023          912        1
  480        +     1040396     1041589         1194        1
  481        +     1041923     1042069          147        1
  482        +     1042631     1043542          912        1
  483        +     1044686     1046503         1818        1
  484        +     1046916     1047686          771        2
  485        +     1048502     1049257          756        1
  486        +     1049547     1051268         1722        1
  487        +     1051606     1051947          342        2
  488        +     1053544     1054908         1365        1
  489        +     1057393     1058745         1353        1
  490        +     1059191     1060327         1137        1
  491        +     1061633     1063183         1551        1
  492        +     1063546     1064349          804        1
  493        +     1065321     1066031          711        1
  494        +     1067967     1071329         3363        1
  495        +     1073720     1075900         2181        1
  496        +     1076245     1076718          474        1
  497        +     1077626     1078735         1110        1
  498        +     1079537     1080502          966        1
  499        +     1080832     1082349         1518        1
  500        +     1082944     1084611         1668        1
  501        +     1085395     1085514          120        1
  502        +     1085910     1089365         3456        1
  503        +     1089827     1092196         2370        1
  504        +     1092934     1094472         1539        1
  505        +     1095097     1096611         1515        1
  506        +     1096783     1100025         3243        1
  507        +     1100541     1101260          720        1
  508        +     1102151     1106986         4836        1
  509        +     1107488     1108081          594        1
  510        +     1108692     1109372          681        1
  511        +     1109886     1111082         1197        1
  512        +     1111726     1113519         1794        1
  513        +     1113695     1115077         1383        1
  514        +     1115384     1115749          366        1
  515        +     1116664     1117380          717        1
  516        +    <1117470     1119044         1575        1
  517        +     1119637     1119942          306        1
  518        +     1121045     1123258         2214        1
  519        +     1124592     1125884         1293        1
  520        +     1126129     1128582         2454        1
  521        +     1129141     1131369         2229        1
  522        +     1131915     1132664          750        1
  523        +     1133696     1133821          126        2
  524        +     1134246     1135130          885        1
  525        +     1135923     1136675          753        1
  526        +     1137448     1140456         3009        1
  527        +     1140912     1141766          855        1
  528        +     1142067     1143110         1044        1
  529        +     1144342     1146153         1812        1
  530        +     1146633     1147508          876        1
  531        +     1147982     1148617          636        1
  532        +     1150377     1151339          963        1
  533        +     1153526     1155910         2385        1
  534        +     1156205     1159744         3540        1
  535        +    <1159991     1160890          900        1
  536        +     1161243     1168175         6933        1
  537        +     1168726     1169895         1170        1
  538        +     1171402     1173021         1620        1
  539        +    <1173116     1174504         1389        1
  540        +     1175031     1175276          246        1
  541        +     1176244     1176390          147        1
  542        +     1177519     1178697         1179        1
  543        +     1179167     1180009          843        1
  544        +     1180537     1182012         1476        1
  545        +    <1182532     1182639          108        2
  546        +     1183777     1183965          189        1
  547        +     1189141     1193097         3957        1
  548        +     1193296     1194618         1323        1
  549        +     1196320     1197612         1293        1
  550        +     1198546     1199502          957        1
  551        +     1200115     1201185         1071        1
  552        +     1201659     1204031         2373        1
  553        +     1205038     1206165         1128        1
  554        +     1207680     1208957         1278        1
  555        +     1210604     1210849          246        2
  556        +     1211200     1212249         1050        1
  557        +     1212918     1213913          996        1
  558        +     1214134     1216083         1950        1
  559        +     1216211     1217365         1155        1
  560        +     1217781     1220630         2850        1
  561        +     1221730     1223406         1677        1
  562        +     1224533     1226194         1662        1
  563        +     1226720     1229452         2733        1
  564        +     1229464     1229664          201        1
  565        +     1229771     1229899          129        2
  566        +     1230687     1231325          639        1
  567        +     1231822     1232274          453        1
  568        +     1232744     1234021         1278        1
  569        +     1234651     1235229          579        1
  570        +     1237043     1237198          156        1
  571        +     1237634     1239235         1602        1
  572        +     1240031     1241584         1554        1
  573        +     1241825     1242520          696        1
  574        +     1243781     1245244         1464        1
  575        +     1245576     1247303         1728        1
  576        +     1247668     1248828         1161        1
  577        +     1249494     1255715         6222        1
  578        +    <1256004     1256978          975        1
  579        +     1257954     1259819         1866        1
  580        +     1260228     1262342         2115        1
  581        +     1262936     1263490          555        1
  582        +     1264019     1265350         1332        1
  583        +     1267262     1267930          669        1
  584        +     1270473     1273232         2760        1
  585        +     1273655     1274503          849        1
  586        +     1275735     1276001          267        1
  587        +     1276249     1277820         1572        1
  588        +    <1278124     1279197         1074        1
  589        +     1280035     1280880          846        1
  590        +     1281925     1284981         3057        1
  591        +     1285377     1287389         2013        1
  592        +     1287938     1288975         1038        1
  593        +     1289661     1292012         2352        1
  594        +     1292341     1293870         1530        1
  595        +     1293947     1294084          138        1
  596        +     1294274     1295134          861        1
  597        +     1296005     1296418          414        1
  598        +     1298538     1301201         2664        1
  599        +     1301528     1302457          930        1
  600        +     1303561     1305510         1950        1
  601        +     1305986     1307173         1188        1
  602        +     1307822     1307983          162        1
  603        +     1308574     1309752         1179        1
  604        +     1310119     1311648         1530        1
  605        +     1312170     1313120          951        1
  606        +     1313368     1314537         1170        1
  607        +     1315044     1315802          759        1
  608        +     1315942     1316118          177        1
  609        +     1318047     1319180         1134        1
  610        +     1323338     1323673          336        1
  611        +     1323924     1324325          402        1
  612        +     1325796     1326695          900        1
  613        +     1327096     1327209          114        1
  614        +     1328278     1330203         1926        1
  615        +     1331302     1333053         1752        1
  616        +     1333458     1337717         4260        1
  617        +     1338368     1340395         2028        1
  618        +     1341862     1342185          324        1
  619        +     1344972     1346591         1620        1
  620        +     1346956     1347753          798        1
  621        +     1348033     1348650          618        1
  622        +     1349336     1350385         1050        1
  623        +     1350580     1352457         1878        1
  624        +     1352897     1357054         4158        1
  625        +     1357208     1359151         1944        1
  626        +     1360493     1362406         1914        1
  627        +     1363054     1363500          447        2
  628        +     1364084     1370242         6159        1
  629        +     1371426     1373528         2103        1
  630        +     1374258     1375124          867        1
  631        +     1375407     1377272         1866        1
  632        +    <1377445     1378017          573        1
  633        +     1379083     1380786         1704        1
  634        +     1381121     1382500         1380        1
  635        +     1382799     1385357         2559        1
  636        +     1385762     1387114         1353        1
  637        +     1389664     1391745         2082        1
  638        +     1392450     1392944          495        1
  639        +     1393028     1393432          405        1
  640        +     1393967     1394533          567        1
  641        +    <1395191     1397242         2052        1
  642        +     1397611     1399182         1572        1
  643        +     1400610     1401521          912        1
  644        +     1402740     1402994          255        1
  645        +     1403395     1403859          465        1
  646        +     1404900     1405808          909        1
  647        +     1407357     1410029         2673        1
  648        +     1411354     1413297         1944        1
  649        +     1414181     1415419         1239        1
  650        +     1416492     1418723         2232        1
  651        +     1419157     1419825          669        1
  652        +     1420507     1421496          990        1
  653        +     1422318     1422839          522        1
  654        +     1423213     1425336         2124        1
  655        +     1425765     1427933         2169        1
  656        +     1428404     1430374         1971        1
  657        +     1430672     1431880         1209        1
  658        +     1432365     1434638         2274        1
  659        +     1435093     1436061          969        1
  660        +     1436674     1437978         1305        1
  661        +     1438540     1439841         1302        1
  662        +     1440107     1442410         2304        1
  663        +     1443844     1445754         1911        1
  664        +     1446416     1447999         1584        1
  665        +    <1448125     1448991          867        1
  666        +     1449879     1451489         1611        1
  667        +     1452147     1452815          669        1
  668        +     1453288     1455615         2328        1
  669        +     1455859     1457007         1149        1
  670        +     1458488     1458736          249        2
  671        +    <1459263     1459343           81        2
  672        +     1461876     1463783         1908        1
  673        +     1464614     1465588          975        1
  674        +     1466119     1466931          813        1
  675        +     1468556     1471249         2694        1
  676        +     1473540     1475351         1812        1
  677        +     1476005     1477090         1086        1
  678        +    <1477426     1481244         3819        1
  679        +     1481677     1483122         1446        1
  680        +     1483908     1484984         1077        1
  681        +     1485551     1486582         1032        1
  682        +     1487769     1488641          873        1
  683        +     1490161     1492206         2046        1
  684        +     1492517     1495108         2592        1
  685        +     1495537     1497150         1614        1
  686        +     1497634     1498989         1356        1
  687        +     1498993     1499298          306        1
  688        +     1499653     1500648          996        1
  689        +     1501271     1502293         1023        1
  690        +     1503194     1503850          657        1
  691        +     1504407     1506050         1644        1
  692        +    <1507030     1508655         1626        1
  693        +     1509181     1509906          726        1
  694        +     1510548     1512953         2406        1
  695        +     1513270     1514079          810        1
  696        +     1514742     1517159         2418        1
  697        +     1517368     1518684         1317        1
  698        +     1519292     1519756          465        2
  699        +     1520426     1521181          756        1
  700        +    <1521662     1522030          369        2
  701        +     1523624     1524292          669        1
  702        +    <1525660     1529982         4323        1
  703        +     1530559     1531455          897        1
  704        +     1532556     1533335          780        1
  705        +     1534058     1534891          834        1
  706        +     1535577     1539002         3426        1
  707        +     1539453     1540847         1395        1
  708        +     1541756     1543981         2226        1
  709        +     1544719     1546260         1542        1
  710        +    <1546763     1547032          270        1
  711        +     1547155     1548669         1515        1
  712        +     1551031     1554735         3705        1
  713        +     1555529     1557280         1752        1
  714        +     1557284     1557439          156        1
  715        +     1558000     1558869          870        1
  716        +     1559331     1559477          147        1
  717        +     1560246     1560353          108        2
  718        +     1560360     1560647          288        1
  719        +     1561050     1561184          135        1
  720        +    <1561255     1562046          792        1
  721        +     1565517     1567340         1824        1
  722        +     1567992     1569986         1995        1
  723        +     1570646     1572271         1626        1
  724        +     1572780     1574984         2205        1
  725        +     1575767     1578046         2280        1
  726        +     1578147     1578290          144        1
  727        +     1578615     1579844         1230        1
  728        +     1580403     1581407         1005        1
  729        +     1582112     1584610         2499        1
  730        +     1585232     1586272         1041        1
  731        +     1587472     1591689         4218        1
  732        +     1592637     1593389          753        1
  733        +     1593835     1596636         2802        1
  734        +     1597544     1605418         7875        1
  735        +     1605950     1607131         1182        1
  736        +     1608253     1609698         1446        1
